date,precipitation,sub,event,pre_impact,impact
2019/1/8,0,-72.86157227,0,0,0
2019/1/9,0,-29.02249146,0,0,0
2019/1/10,0,-84.61035156,0,0,0
2019/1/11,0,-54.06430054,0,0,0
2019/1/12,0,-36.35229492,éOòAãx,1,3
2019/1/13,0,54.38867188,éOòAãx,1,3
2019/1/14,0,-68.34014893,éOòAãx,0.5,0.5
2019/1/15,0,-61.08731079,0,0,0
2019/1/16,0,93.50201416,0,0,0
2019/1/17,0,-36.12353516,0,0,0
2019/1/18,0,-30.29074097,0,0,0
2019/1/19,0,140.8147583,0,0,0
2019/1/20,0,10.06994629,0,0,0
2019/1/21,0,95.40803528,0,0,0
2019/1/22,0,127.4104309,0,0,0
2019/1/23,0,66.51721191,0,0,0
2019/1/24,0,19.37931824,0,0,0
2019/1/25,0,10.15209961,0,0,0
2019/1/26,1,91.53451538,0,0,0
2019/1/27,0.5,28.18664551,0,0,0
2019/1/28,0,-13.79681396,0,0,0
2019/1/29,0,108.6294708,0,0,0
2019/1/30,0,4.290390015,0,0,0
2019/1/31,20,-39.62536621,âJ,-0.5,-2
2019/2/1,0,-79.98716736,0,0,0
2019/2/2,0,58.7093811,0,0,0
2019/2/3,0,-63.50601196,0,0,0
2019/2/4,4,29.42546082,0,0,0
2019/2/5,0,-7.49206543,0,0,0
2019/2/6,14.5,-47.22567749,âJ,0,0
2019/2/7,0,6.898727417,0,0,0
2019/2/8,0,-98.943573,0,0,0
2019/2/9,0,-68.0072937,éOòAãx,1,3
2019/2/10,0,-70.46643066,éOòAãx,1,3
2019/2/11,0,-80.32531738,éOòAãx,0.5,0.5
2019/2/12,0,-120.6956482,0,0,0
2019/2/13,0,6.690475464,0,0,0
2019/2/14,0,-57.92756653,0,0,0
2019/2/15,0,-97.66751099,0,0,0
2019/2/16,0,44.60476685,0,0,0
2019/2/17,0,60.23059082,0,0,0
2019/2/18,0,-23.16693115,0,0,0
2019/2/19,14.5,-35.45733643,âJ,0,0
2019/2/20,0,48.46560669,0,0,0
2019/2/21,0,-7.098907471,0,0,0
2019/2/22,0,-56.33569336,0,0,0
2019/2/23,0,-5.345916748,0,0,0
2019/2/24,0,-4.537322998,0,0,0
2019/2/25,0,-44.70077515,0,0,0
2019/2/26,0,6.939971924,0,0,0
2019/2/27,0,48.85375977,0,0,0
2019/2/28,32,-92.93304443,âJ,0,0
2019/3/1,0,-103.206955,0,0,0
2019/3/2,0,104.0067749,0,0,0
2019/3/3,4,-79.32958984,âJ,-0.5,-2
2019/3/4,15,57.68086243,âJ,0,0
2019/3/5,0,58.10873413,0,0,0
2019/3/6,17,51.88606262,âJ,0,0
2019/3/7,4.5,7.644699097,0,0,0
2019/3/8,0,-12.21784973,0,0,0
2019/3/9,0,110.811615,0,0,0
2019/3/10,32.5,-75.15768433,âJ,0,0
2019/3/11,20.5,50.16777039,âJ,0,0
2019/3/12,0,49.65286255,0,0,0
2019/3/13,0,33.15504456,0,0,0
2019/3/14,0,-30.86987305,0,0,0
2019/3/15,0,-82.29415894,0,0,0
2019/3/16,0,68.85803223,0,0,0
2019/3/17,0.5,-57.87304688,0,0,0
2019/3/18,0,-54.5267334,0,0,0
2019/3/19,3,-1.213134766,0,0,0
2019/3/20,0,41.56259155,0,0,0
2019/3/21,0,-14.0838623,0,0,0
2019/3/22,0,-38.97564697,0,0,0
2019/3/23,0,-9.481170654,0,0,0
2019/3/24,0,-97.05517578,0,0,0
2019/3/25,0,-23.57125854,0,0,0
2019/3/26,0,-43.82507324,0,0,0
2019/3/27,0,9.745452881,0,0,0
2019/3/28,0,-1.45715332,0,0,0
2019/3/29,0,-150.3551636,0,0,0
2019/3/30,1,39.56259155,0,0,0
2019/3/31,1,-48.85974121,0,0,0
2019/4/1,0,-61.53381348,0,0,0
2019/4/2,0,14.14355469,0,0,0
2019/4/3,0,14.43231201,0,0,0
2019/4/4,0,-130.3986206,0,0,0
2019/4/5,0,-90.02850342,0,0,0
2019/4/6,0,19.76647949,0,0,0
2019/4/7,0,3.43081665,0,0,0
2019/4/8,5.5,-21.94398499,0,0,0
2019/4/9,0,53.67883301,0,0,0
2019/4/10,38.5,-84.01855469,âJ,0,0
2019/4/11,0,22.15977478,0,0,0
2019/4/12,0,-101.2419739,0,0,0
2019/4/13,0,37.48242188,0,0,0
2019/4/14,9.5,-97.41125488,0,0,0
2019/4/15,2,50.66551208,0,0,0
2019/4/16,0,41.1796875,0,0,0
2019/4/17,11,40.86146545,âJ,0,0
2019/4/18,0,-25.49909973,0,0,0
2019/4/19,0,-12.49041748,0,0,0
2019/4/20,0,47.4385376,0,0,0
2019/4/21,0,-24.50708008,0,0,0
2019/4/22,0,-2.79473877,0,0,0
2019/4/23,0,-44.08821106,0,0,0
2019/4/24,29.5,-29.00263977,âJ,0,0
2019/4/25,1,-50.54949951,0,0,0
2019/4/26,2.5,-68.14785767,0,0,0
2019/4/27,0.5,87.02749634,GW,0.3,0.3
2019/4/28,0,15.47503662,GW,0.3,0.3
2019/4/29,13,-70.21691895,"GW,âJ",0.3,0.3
2019/4/30,41,-55.39904785,"GW,âJ",-0.5,-2
2019/5/1,4.5,60.97973633,GW,0.3,0.3
2019/5/2,0,-81.44268799,GW,0.3,0.3
2019/5/3,0,-46.54241943,GW,0.3,0.3
2019/5/4,0,47.53826904,GW,0.3,0.3
2019/5/5,0,-55.75708008,GW,0.3,0.3
2019/5/6,3,-177.899231,0,0,0
2019/5/7,0,107.9429626,0,0,0
2019/5/8,0,127.5795441,0,0,0
2019/5/9,0,93.82363892,0,0,0
2019/5/10,0,-157.1280823,0,0,0
2019/5/11,0,-78.6350708,0,0,0
2019/5/12,0,-30.63424683,0,0,0
2019/5/13,0,-37.22120667,0,0,0
2019/5/14,21.5,-18.24502563,0,0,0
2019/5/15,0,49.36018372,0,0,0
2019/5/16,0,-34.12785339,0,0,0
2019/5/17,0,-90.71243286,0,0,0
2019/5/18,4.5,62.1546936,0,0,0
2019/5/19,0,101.7929993,âJ,-0.5,-2
2019/5/20,28,22.32150269,âJ,-0.5,-2
2019/5/21,100,-56.37501526,0,0,0
2019/5/22,0,7.765289307,0,0,0
2019/5/23,0,-30.77157593,0,0,0
2019/5/24,0,-87.4090271,0,0,0
2019/5/25,0,43.58630371,0,0,0
2019/5/26,0,-17.98318481,0,0,0
2019/5/27,0,41.5710907,0,0,0
2019/5/28,24,-11.13842773,âJ,0,0
2019/5/29,0,26.83329773,0,0,0
2019/5/30,0,22.62367249,âJ,-0.5,-2
2019/5/31,0,-116.0613098,0,0,0
2019/6/1,0,51.34091187,0,0,0
2019/6/2,3.5,-41.99572754,0,0,0
2019/6/3,1.5,9.917449951,0,0,0
2019/6/4,0,-4.604629517,0,0,0
2019/6/5,1,-15.6272583,0,0,0
2019/6/6,0,63.46101379,âJ,-0.5,-2
2019/6/7,36.5,-82.89143372,âJ,-0.5,-2
2019/6/8,1,105.9289856,0,0,0
2019/6/9,4,-114.8033142,0,0,0
2019/6/10,3.5,38.48641968,0,0,0
2019/6/11,4.5,-33.74917603,0,0,0
2019/6/12,0,38.52853394,0,0,0
2019/6/13,0,-48.99179077,0,0,0
2019/6/14,26,-47.24241638,0,0,0
2019/6/15,38,-6.883972168,0,0,0
2019/6/16,0,67.84362793,0,0,0
2019/6/17,0,14.20397949,0,0,0
2019/6/18,0,1.334381104,0,0,0
2019/6/19,0,-30.32455444,0,0,0
2019/6/20,0,-42.29673767,0,0,0
2019/6/21,0,16.77212524,0,0,0
